,Abundance %,runNumber,Ecosystem Element,Time,runType,Median,ninetyfivePerc,fivePerc
0,12,1,Roe deer,0,Accepted,12.0,12.0,12.0
0,0,1,Exmoor pony,0,Accepted,0.0,0.0,0.0
0,0,1,Fallow deer,0,Accepted,0.0,0.0,0.0
0,0,1,Longhorn cattle,0,Accepted,0.0,0.0,0.0
0,0,1,Red deer,0,Accepted,0.0,0.0,0.0
0,0,1,Tamworth pigs,0,Accepted,0.0,0.0,0.0
0,81,1,Grassland,0,Accepted,81.0,82.8,81.0
0,13,1,Woodland,0,Accepted,13.0,13.0,13.0
0,1,1,Thorny Scrub,0,Accepted,1.0,1.0,1.0
0,5,1,Bare ground,0,Accepted,5.0,5.0,3.2
1,12,1,Roe deer,1,Accepted,12.0,12.0,12.0
1,0,1,Exmoor pony,1,Accepted,0.0,0.0,0.0
1,0,1,Fallow deer,1,Accepted,0.0,0.0,0.0
1,0,1,Longhorn cattle,1,Accepted,0.0,0.0,0.0
1,0,1,Red deer,1,Accepted,0.0,0.0,0.0
1,0,1,Tamworth pigs,1,Accepted,0.0,0.0,0.0
1,81,1,Grassland,1,Accepted,81.0,82.8,81.0
1,13,1,Woodland,1,Accepted,13.0,13.9,13.0
1,1,1,Thorny Scrub,1,Accepted,1.0,1.0,0.1
1,5,1,Bare ground,1,Accepted,5.0,5.0,3.2
2,12,1,Roe deer,2,Accepted,12.0,12.0,11.1
2,0,1,Exmoor pony,2,Accepted,0.0,0.0,0.0
2,0,1,Fallow deer,2,Accepted,0.0,0.0,0.0
2,0,1,Longhorn cattle,2,Accepted,0.0,0.0,0.0
2,0,1,Red deer,2,Accepted,0.0,0.0,0.0
2,0,1,Tamworth pigs,2,Accepted,0.0,0.0,0.0
2,81,1,Grassland,2,Accepted,81.0,82.8,81.0
2,13,1,Woodland,2,Accepted,13.0,13.9,13.0
2,1,1,Thorny Scrub,2,Accepted,1.0,1.0,0.1
2,5,1,Bare ground,2,Accepted,5.0,5.0,3.2
3,12,1,Roe deer,3,Accepted,12.0,12.0,11.1
3,0,1,Exmoor pony,3,Accepted,0.0,0.0,0.0
3,0,1,Fallow deer,3,Accepted,0.0,0.0,0.0
3,0,1,Longhorn cattle,3,Accepted,0.0,0.0,0.0
3,0,1,Red deer,3,Accepted,0.0,0.0,0.0
