number passed pre-reintro filters: 920
number passed April 2015 filters: 908
number passed May 2015 filters: 896
number passed June 2015 filters: 896
number passed July 2015 filters: 896
number passed Aug 2015 filters: 896
number passed Sept 2015 filters: 896
number passed Oct 2015 filters: 896
number passed Nov 2015 filters: 896
number passed Dec 2015 filters: 896
number passed Jan 2016 filters: 896
number passed February 2016 filters: 896
number passed March 2016 filters: 631
number passed April 2016 filters: 547
number passed May 2016 filters: 538
number passed June 2016 filters: 524
number passed July 2016 filters: 524
number passed Aug 2016 filters: 524
number passed Sept 2016 filters: 524
number passed Oct 2016 filters: 524
number passed Nov 2016 filters: 524
number passed Dec 2016 filters: 524
number passed Jan 2017 filters: 516
number passed Feb 2017 filters: 516
number passed March 2017 filters: 308
number passed April 2017 filters: 82
number passed May 2017 filters: 76
number passed June 2017 filters: 73
number passed July 2017 filters: 73
number passed Aug 2017 filters: 73
number passed Sept 2017 filters: 73
number passed Oct 2017 filters: 73
number passed Nov 2017 filters: 73
number passed Dec 2017 filters: 73
number passed January 2018 filters: 73
number passed Feb 2018 filters: 17
number passed March 2018 filters: 16
number passed April 2018 filters: 15
number passed May 2018 filters: 5
number passed June 2018 filters: 5
number passed July 2018 filters: 5
number passed Aug 2018 filters: 5
number passed Sept 2018 filters: 5
number passed Oct 2018 filters: 5
number passed Nov 2018 filters: 5
number passed Dec 2018 filters: 5
number passed Jan 2019 filters: 5
number passed Feb 2019 filters: 5
number passed March 2019 filters: 2
number passed April 2019 filters: 0
number passed May 2019 filters: 0
number passed June 2019 filters: 0
number passed July 2019 filters: 0
number passed Aug 2019 filters: 0
number passed Sept 2019 filters: 0
number passed Oct 2019 filters: 0
number passed Nov 2019 filters: 0
number passed Dec 2019 filters: 0
number passed Jan 2020 filters: 0
number passed Feb 2020 filters: 0
number passed March 2020 filters: 0
number passed April 2020 filters: 0
number passed all filters: 0
