,Abundance %,runNumber,Ecosystem Element,Time,Perc,Median,ninetyfivePerc,fivePerc
0,12,1,Roe deer,0,-0.5,12.0,12.0,12.0
1,0,1,Exmoor pony,0,-0.5,0.0,0.0,0.0
2,0,1,Fallow deer,0,-0.5,0.0,0.0,0.0
3,0,1,Longhorn cattle,0,-0.5,0.0,0.0,0.0
4,0,1,Red deer,0,-0.5,0.0,0.0,0.0
5,0,1,Tamworth pigs,0,-0.5,0.0,0.0,0.0
6,78,1,Grassland,0,-0.5,78.0,80.7,78.0
7,17,1,Woodland,0,-0.5,15.0,16.8,12.3
8,0,1,Thorny Scrub,0,-0.5,1.0,1.0,0.1
9,4,1,Bare ground,0,-0.5,6.0,6.9,4.2
10,12,1,Roe deer,1,-0.5,12.0,12.0,12.0
11,0,1,Exmoor pony,1,-0.5,0.0,0.0,0.0
12,0,1,Fallow deer,1,-0.5,0.0,0.0,0.0
13,0,1,Longhorn cattle,1,-0.5,0.0,0.0,0.0
14,0,1,Red deer,1,-0.5,0.0,0.0,0.0
15,0,1,Tamworth pigs,1,-0.5,0.0,0.0,0.0
16,79,1,Grassland,1,-0.5,80.0,80.9,79.1
17,17,1,Woodland,1,-0.5,15.0,16.8,12.3
18,0,1,Thorny Scrub,1,-0.5,1.0,1.0,0.1
19,3,1,Bare ground,1,-0.5,4.0,5.8,3.1
20,12,1,Roe deer,2,-0.5,12.0,12.0,12.0
21,0,1,Exmoor pony,2,-0.5,0.0,0.0,0.0
22,0,1,Fallow deer,2,-0.5,0.0,0.0,0.0
23,0,1,Longhorn cattle,2,-0.5,0.0,0.0,0.0
24,0,1,Red deer,2,-0.5,0.0,0.0,0.0
25,0,1,Tamworth pigs,2,-0.5,0.0,0.0,0.0
26,82,1,Grassland,2,-0.5,84.0,84.0,82.2
27,17,1,Woodland,2,-0.5,15.0,16.8,12.3
28,0,1,Thorny Scrub,2,-0.5,1.0,1.0,0.1
29,1,1,Bare ground,2,-0.5,1.0,1.9,0.1
30,12,1,Roe deer,3,-0.5,12.0,12.0,12.0
31,0,1,Exmoor pony,3,-0.5,0.0,0.0,0.0
32,0,1,Fallow deer,3,-0.5,0.0,0.0,0.0
33,0,1,Longhorn cattle,3,-0.5,0.0,0.0,0.0
34,0,1,Red deer,3,-0.5,0.0,0.0,0.0
35,0,1,Tamworth pigs,3,-0.5,0.0,0.0,0.0
36,82,1,Grassland,3,-0.5,84.0,84.9,82.2
37,17,1,Woodland,3,-0.5,15.0,16.8,12.3
38,0,1,Thorny Scrub,3,-0.5,1.0,1.0,0.1
39,0,1,Bare ground,3,-0.5,0.0,1.7999999999999998,0.0
40,11,1,Roe deer,4,-0.5,12.0,12.0,11.1
41,0,1,Exmoor pony,4,-0.5,0.0,0.0,0.0
42,0,1,Fallow deer,4,-0.5,0.0,0.0,0.0
43,0,1,Longhorn cattle,4,-0.5,0.0,0.0,0.0
44,0,1,Red deer,4,-0.5,0.0,0.0,0.0
45,0,1,Tamworth pigs,4,-0.5,0.0,0.0,0.0
46,83,1,Grassland,4,-0.5,84.0,85.8,83.1
47,17,1,Woodland,4,-0.5,15.0,16.8,12.3
48,0,1,Thorny Scrub,4,-0.5,1.0,1.0,0.1
49,0,1,Bare ground,4,-0.5,0.0,0.8999999999999999,0.0
50,12,1,Roe deer,5,-0.5,12.0,13.8,12.0
51,0,1,Exmoor pony,5,-0.5,0.0,0.0,0.0
52,0,1,Fallow deer,5,-0.5,0.0,0.0,0.0
53,0,1,Longhorn cattle,5,-0.5,0.0,0.0,0.0
54,0,1,Red deer,5,-0.5,0.0,0.0,0.0
55,0,1,Tamworth pigs,5,-0.5,0.0,0.0,0.0
56,82,1,Grassland,5,-0.5,84.0,84.9,82.2
57,17,1,Woodland,5,-0.5,15.0,16.8,12.3
58,1,1,Thorny Scrub,5,-0.5,1.0,1.0,1.0
59,0,1,Bare ground,5,-0.5,0.0,0.8999999999999999,0.0
60,15,1,Roe deer,6,-0.5,14.0,14.9,13.1
61,0,1,Exmoor pony,6,-0.5,0.0,0.0,0.0
62,0,1,Fallow deer,6,-0.5,0.0,0.0,0.0
63,0,1,Longhorn cattle,6,-0.5,0.0,0.0,0.0
64,0,1,Red deer,6,-0.5,0.0,0.0,0.0
65,0,1,Tamworth pigs,6,-0.5,0.0,0.0,0.0
66,82,1,Grassland,6,-0.5,83.0,84.8,82.1
67,17,1,Woodland,6,-0.5,16.0,16.9,12.4
68,0,1,Thorny Scrub,6,-0.5,1.0,1.9,0.1
69,1,1,Bare ground,6,-0.5,1.0,1.0,0.1
70,15,1,Roe deer,7,-0.5,14.0,14.9,13.1
71,0,1,Exmoor pony,7,-0.5,0.0,0.0,0.0
72,0,1,Fallow deer,7,-0.5,0.0,0.0,0.0
73,0,1,Longhorn cattle,7,-0.5,0.0,0.0,0.0
74,0,1,Red deer,7,-0.5,0.0,0.0,0.0
75,0,1,Tamworth pigs,7,-0.5,0.0,0.0,0.0
76,82,1,Grassland,7,-0.5,82.0,84.7,82.0
77,17,1,Woodland,7,-0.5,16.0,16.9,12.4
78,0,1,Thorny Scrub,7,-0.5,2.0,2.0,0.2
79,0,1,Bare ground,7,-0.5,0.0,0.8999999999999999,0.0
80,15,1,Roe deer,8,-0.5,14.0,14.9,13.1
81,0,1,Exmoor pony,8,-0.5,0.0,0.0,0.0
82,0,1,Fallow deer,8,-0.5,0.0,0.0,0.0
83,0,1,Longhorn cattle,8,-0.5,0.0,0.0,0.0
84,0,1,Red deer,8,-0.5,0.0,0.0,0.0
85,0,1,Tamworth pigs,8,-0.5,0.0,0.0,0.0
86,82,1,Grassland,8,-0.5,82.0,83.8,82.0
87,17,1,Woodland,8,-0.5,16.0,16.9,12.4
88,0,1,Thorny Scrub,8,-0.5,2.0,2.9,0.2
89,0,1,Bare ground,8,-0.5,0.0,0.8999999999999999,0.0
90,15,1,Roe deer,9,-0.5,14.0,14.9,13.1
91,0,1,Exmoor pony,9,-0.5,0.0,0.0,0.0
92,0,1,Fallow deer,9,-0.5,0.0,0.0,0.0
93,0,1,Longhorn cattle,9,-0.5,0.0,0.0,0.0
94,0,1,Red deer,9,-0.5,0.0,0.0,0.0
95,0,1,Tamworth pigs,9,-0.5,0.0,0.0,0.0
96,82,1,Grassland,9,-0.5,82.0,84.7,82.0
97,18,1,Woodland,9,-0.5,16.0,17.8,13.3
98,1,1,Thorny Scrub,9,-0.5,2.0,2.9,1.1
99,0,1,Bare ground,9,-0.5,0.0,0.8999999999999999,0.0
100,15,1,Roe deer,10,-0.5,14.0,14.9,13.1
101,0,1,Exmoor pony,10,-0.5,0.0,0.0,0.0
102,0,1,Fallow deer,10,-0.5,0.0,0.0,0.0
103,0,1,Longhorn cattle,10,-0.5,0.0,0.0,0.0
104,0,1,Red deer,10,-0.5,0.0,0.0,0.0
105,0,1,Tamworth pigs,10,-0.5,0.0,0.0,0.0
106,81,1,Grassland,10,-0.5,82.0,83.8,81.1
107,18,1,Woodland,10,-0.5,16.0,17.8,13.3
108,1,1,Thorny Scrub,10,-0.5,2.0,2.9,1.1
109,0,1,Bare ground,10,-0.5,0.0,0.8999999999999999,0.0
110,15,1,Roe deer,11,-0.5,14.0,14.9,13.1
111,0,1,Exmoor pony,11,-0.5,0.0,0.0,0.0
112,0,1,Fallow deer,11,-0.5,0.0,0.0,0.0
113,0,1,Longhorn cattle,11,-0.5,0.0,0.0,0.0
114,0,1,Red deer,11,-0.5,0.0,0.0,0.0
115,0,1,Tamworth pigs,11,-0.5,0.0,0.0,0.0
116,81,1,Grassland,11,-0.5,81.0,83.7,81.0
117,18,1,Woodland,11,-0.5,16.0,17.8,13.3
118,1,1,Thorny Scrub,11,-0.5,2.0,2.9,1.1
119,0,1,Bare ground,11,-0.5,0.0,0.8999999999999999,0.0
120,15,1,Roe deer,12,-0.5,14.0,14.9,13.1
121,0,1,Exmoor pony,12,-0.5,0.0,0.0,0.0
122,0,1,Fallow deer,12,-0.5,0.0,0.0,0.0
123,0,1,Longhorn cattle,12,-0.5,0.0,0.0,0.0
124,0,1,Red deer,12,-0.5,0.0,0.0,0.0
125,0,1,Tamworth pigs,12,-0.5,0.0,0.0,0.0
126,80,1,Grassland,12,-0.5,81.0,82.8,80.1
127,18,1,Woodland,12,-0.5,16.0,17.8,13.3
128,1,1,Thorny Scrub,12,-0.5,2.0,2.9,1.1
129,0,1,Bare ground,12,-0.5,0.0,0.8999999999999999,0.0
130,15,1,Roe deer,13,-0.5,14.0,14.9,13.1
131,0,1,Exmoor pony,13,-0.5,0.0,0.0,0.0
132,0,1,Fallow deer,13,-0.5,0.0,0.0,0.0
133,0,1,Longhorn cattle,13,-0.5,0.0,0.0,0.0
134,0,1,Red deer,13,-0.5,0.0,0.0,0.0
135,0,1,Tamworth pigs,13,-0.5,0.0,0.0,0.0
136,80,1,Grassland,13,-0.5,81.0,82.8,80.1
137,19,1,Woodland,13,-0.5,16.0,18.7,13.3
138,1,1,Thorny Scrub,13,-0.5,2.0,2.9,1.1
139,1,1,Bare ground,13,-0.5,1.0,1.0,0.1
140,15,1,Roe deer,14,-0.5,14.0,14.9,13.1
141,0,1,Exmoor pony,14,-0.5,0.0,0.0,0.0
142,0,1,Fallow deer,14,-0.5,0.0,0.0,0.0
143,0,1,Longhorn cattle,14,-0.5,0.0,0.0,0.0
144,0,1,Red deer,14,-0.5,0.0,0.0,0.0
145,0,1,Tamworth pigs,14,-0.5,0.0,0.0,0.0
146,80,1,Grassland,14,-0.5,80.0,81.8,80.0
147,19,1,Woodland,14,-0.5,17.0,18.8,14.3
148,1,1,Thorny Scrub,14,-0.5,3.0,3.0,1.2
149,0,1,Bare ground,14,-0.5,0.0,1.7999999999999998,0.0
150,14,1,Roe deer,15,-0.5,14.0,14.0,13.1
151,0,1,Exmoor pony,15,-0.5,0.0,0.0,0.0
